name,sowinstructions,spaceinstructions,harvestinstructions,compatibleplants,Detailed Ideal Growing Conditions,Weather Conditions,Sunshine,Weather,Soil Conditions
Lemon Balm,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 77째F. (Show 째C/cm),Space plants: 10 inches apart,Harvest in 8-10 weeks. Cut back tall stems to prevent flowering.,Compatible with (can grow beside): Good to attract bees,"Full sun to partial shade, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, partial shade to full sun, well-drained soil",full sun to partial sun,cool weather,well-drained soil
Lettuce,"Easy to grow. Sow in garden, or start in seed trays and plant out in 4-6 weeks.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 8째C and 27째C. (Show 째F/in)",Space plants: 20 - 30 cm apart,Harvest in 8-12 weeks.,"Compatible with (can grow beside): Carrots, Onions, Strawberries, Beets, Brassicas, Radish, Marigold, Borage, Chervil, Florence fennel, leeks.","Full sun to partial shade, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun to partial sun,cool weather,well-drained soil
Luffa,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68째F and 86째F. (Show 째C/cm)",Space plants: 18 - 30 inches apart,Harvest in 11-12 weeks. Use as a back scratcher.,"Compatible with (can grow beside): Peas, Beans, Onions, Sweetcorn","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Marrow,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68째F and 95째F. (Show 째C/cm)",Space plants: 35 - 47 inches apart,Harvest in 12-17 weeks.,"Compatible with (can grow beside): Peas, Beans, Onions, Sweetcorn","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Mint,Easy to grow. Grow in trays and plant out or start from cuttings. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70째F and 75째F. (Show 째C/cm),Space plants: 12 inches apart,Harvest in 8-12 weeks. Cut leaves from top with scissors.,"Compatible with (can grow beside): Cabbages, Tomatoes","Full sun to partial shade, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to stay moist. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, partial shade to full sun, moist soil",full sun to partial sun,cool weather,well-drained soil
Mizuna,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 86째F. (Show 째C/cm),Space plants: 6 - 8 inches apart,Harvest in 35-50 days.,"Compatible with (can grow beside): Radish, lettuce","Full sun to partial shade, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun to partial sun,cool weather,well-drained soil
Mustard greens,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 95째F. (Show 째C/cm),Space plants: 14 - 24 inches apart,Harvest in 5-8 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, camomile)","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Okra,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68째F and 95째F. (Show 째C/cm)",Space plants: 14 - 24 inches apart,Harvest in 11-14 weeks.,"Compatible with (can grow beside): Peppers (Capsicum, Chili), Eggplant (Aubergine)","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Onion,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46째F and 86째F. (Show 째C/cm)",Space plants: 2 - 4 inches apart,Harvest in 25-34 weeks. Allow onions to dry before storing.,"Compatible with (can grow beside): Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Full sun, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, especially during bulb formation. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun, well-drained soil",full sun,cool weather,well-drained soil
Oregano,"Sow in garden, or start in seed trays. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64째F and 77째F. (Show 째C/cm)",Space plants: 6 inches apart,Harvest in 6-8 weeks. When flowers appear.,Compatible with (can grow beside): Broccoli,"Full sun, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Pak Choy,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70째F and 86째F. (Show 째C/cm),Space plants: 12 - 16 inches apart,Harvest in 6-11 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile, coriander), lettuce, potatoes","Full sun to partial shade, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Parsley,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 86째F. (Show 째C/cm),Space plants: 8 - 12 inches apart,Harvest in 9-19 weeks. Cut stalks from outer part of plant.,"Compatible with (can grow beside): Carrots, Chives, Tomatoes, Asparagus","Full sun to partial shade, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Parsnip,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 43째F and 70째F. (Show 째C/cm),Space plants: 3 - 4 inches apart,Harvest in 17-20 weeks. Best flavour if harvested after a frost..,"Compatible with (can grow beside): Swiss Chard (Silverbeet), Capsicum, Peas, Potatoes, Beans, Radishes, Garlic","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun, well-drained soil",full sun,cool weather,well-drained soil
Peas,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 8째C and 24째C. (Show 째F/in),Space plants: 5 - 8 cm apart,Harvest in 9-11 weeks. Pick the pods every day to increase production.,Compatible with (can grow beside): Potatoes,"Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, especially during flowering and fruiting. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Potato,Plant tuber. Best planted at soil temperatures between 50째F and 86째F. (Show 째C/cm),Space plants: 12 - 16 inches apart,"Harvest in 15-20 weeks. Dig carefully, avoid damaging the potatoes.","Compatible with (can grow beside): Peas, Beans, Brassicas, Sweetcorn, Broad Beans, Nasturtiums, Marigolds","Full sun, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, especially during tuber formation. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun, well-drained soil",full sun,cool weather,well-drained soil
Pumpkin,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68째F and 90째F. (Show 째C/cm),Space plants: 35 - 47 inches apart,Harvest in 15-20 weeks.,Compatible with (can grow beside): Sweet Corn,"Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Radish,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46째F and 86째F. (Show 째C/cm),Space plants: 1 - 2 inches apart,Harvest in 5-7 weeks.,"Compatible with (can grow beside): Chervil, cress,lettuce, leeks, spinach, strawberries, tomatoes","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Rhubarb,Easy to grow. Plant pieces of rhizome or roots 8 - 10 cm (3 - 4 in.) deep. Best planted at soil temperatures between 41째F and 68째F. (Show 째C/cm),Space plants: 35 inches apart,Harvest in approximately 1 years. You will have a stronger plant if you leave it for about a year before using..,"Compatible with (can grow beside): Brassicas (Cabbage, Broccoli, Cauliflower, etc)","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, especially during leafing. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Rocket,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 77째F. (Show 째C/cm),Space plants: 6 - 8 inches apart,Harvest in 21-35 days.,Compatible with (can grow beside): Lettuce,"Full sun to partial shade, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Rockmelon,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68째F and 90째F. (Show 째C/cm)",Space plants: 16 - 24 inches apart,Harvest in 10-16 weeks.,"Compatible with (can grow beside): Sweetcorn, Sunflowers","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Rosella,"Sow in garden, or start in seed trays. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 20째C and 35째C. (Show 째F/in)",Space plants: 140 cm apart,Harvest in 21-25 weeks.,"Compatible with (can grow beside): Feverfew, Coriander, Nasturtium and Hyssop","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Rosemary,Easy to grow. Plant cuttings . Best planted at soil temperatures between 59째F and 68째F. (Show 째C/cm),Space plants: 39 - 59 inches apart,"Harvest in approximately 1 years. In warmer areas, harvest time might be shorter.","Compatible with (can grow beside): Beans, Carrots, Cabbages, Sage","Full sun, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Rutabaga,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45째F and 77째F. (Show 째C/cm),Space plants: 4 - 8 inches apart,Harvest in 10-14 weeks.,"Compatible with (can grow beside): Peas, Beans, Chives","Full sun, well-drained soil, cool weather (60-75캟).쟑refers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Sage,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 77째F. (Show 째C/cm),Space plants: 20 inches apart,Harvest in approximately 18 months. Time reduced if grown from cuttings.,"Compatible with (can grow beside): Broccoli, Cauliflower, Rosemary, Cabbage and Carrots","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun to partial shade, well-drained soil",full sun,Warm weather,well-drained soil
Salsify,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 86째F. (Show 째C/cm),Space plants: 6 - 8 inches apart,Harvest in 14-21 weeks.,"Compatible with (can grow beside): Beans, Brassicas, Carrots, Celeriac, Endive, Kohl-rabi, Leeks, Lettuce, Alliums, Spinach","Full sun to partial shade, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun, well-drained soil",full sun,cool weather,well-drained soil
Savory - summer savory,Easy to grow. Sow in Garden. Lightly cover.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64째F and 86째F. (Show 째C/cm),Space plants: 10 inches apart,Harvest in 6-10 weeks. Cut before flowers form for best flavour.,"Compatible with (can grow beside): Beans, Onions","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Savory - winter savory,Easy to grow. Start in trays. Cover seed lightly.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64째F and 86째F. (Show 째C/cm),Space plants: 12 - 16 inches apart,Harvest in 6-10 weeks. Use the leaves fresh..,Compatible with (can grow beside): Beans,"Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun, well-drained soil",full sun,cool weather,well-drained soil
Shallots,"Easy to grow. Plant small bulblets, with stem just showing above ground. Best planted at soil temperatures between 46째F and 86째F. (Show 째C/cm)",Space plants: 6 - 8 inches apart,Harvest in 12-15 weeks. Keep a few for your next planting.,"Compatible with (can grow beside): Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Full sun, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, especially during bulb formation. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Silverbeet,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 86째F. (Show 째C/cm),Space plants: 6 - 12 inches apart,Harvest in 7-12 weeks.,"Compatible with (can grow beside): Beans, brassica sp. (cabbage, cauliflower, etc), tomato, allium sp. (onion, garlic, chives), lavender, parsnip","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, especially during leafing. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Snow Peas,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46째F and 68째F. (Show 째C/cm),Space plants: 3 - 4 inches apart,Harvest in 12-14 weeks.,"Compatible with (can grow beside): Carrots, Endive, Florence fennel, Winter lettuce, Brassicas.","Full sun to partial shade, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Spinach,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 77째F. (Show 째C/cm),Space plants: 8 - 12 inches apart,Harvest in 5-11 weeks.,"Compatible with (can grow beside): Broad beans (fava), cabbage, cauliflower, celery, eggplant (aubergine), onion, peas, strawberry, santolina","Full sun to partial shade, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Spring onions,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 68째F. (Show 째C/cm),Space plants: close together,Harvest in 8-12 weeks.,"Compatible with (can grow beside): Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Full sun, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, especially during bulb formation. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Squash,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70째F and 95째F. (Show 째C/cm)",Space plants: 24 - 31 inches apart,Harvest in 7-8 weeks.,Compatible with (can grow beside): Sweet corn,"Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Strawberries (from seeds),Start inside in pots or trays after chilling seeds.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 68째F. (Show 째C/cm),Space plants: 12 - 39 inches apart,Harvest in approximately 1 years. Seedlings need to grow for about a year before fruiting. Remove first flowers. .,Compatible with (can grow beside): Better in a bed on their own to allow good sun and air circulation,"Full sun to partial shade, well-drained soil, cool weather (60-75캟). Prefers a pH of 5.5-6.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Strawberry Plants,Easy to grow. Plant with crown (of roots) just covered.. Best planted at soil temperatures between 50째F and 68째F. (Show 째C/cm),Space plants: 12 - 39 inches apart,"Harvest in approximately 11 weeks. Strawberries bruise easily when ripe, handle carefully. Pick with a small piece of stem attached..",Compatible with (can grow beside): Better in a bed on their own to allow good sun and air circulation,"Full sun to partial shade, well-drained soil, cool weather (60-75캟). Prefers a pH of 5.5-6.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Sunflower,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 86째F. (Show 째C/cm),Space plants: 8 - 12 inches apart,Harvest in 10-11 weeks.,"Compatible with (can grow beside): Cucumbers, Melons, Sweetcorn, Squash","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during flowering and fruiting. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Sweet corn,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61째F and 95째F. (Show 째C/cm),Space plants: 8 - 12 inches apart,Harvest in 11-14 weeks.,"Compatible with (can grow beside): All beans, cucumber, melons, peas, pumpkin, squash, amaranth","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruiting. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Sweet Marjoram,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 77째F. (Show 째C/cm)",Space plants: 8 inches apart,Harvest in 8-10 weeks. Best flavour if picked before flowering.,"Compatible with (can grow beside): Peppers (Capsicums, Chilis), Sage,","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Sweet Potato,Plant shoots or cuttings (Slips). Best planted at soil temperatures between 63째F and 95째F. (Show 째C/cm),Space plants: 16 - 24 inches apart,Harvest in 15-17 weeks.,Compatible with (can grow beside): Best in Separate bed,"Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during tuber formation. Fertilize  every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Taro,"Plant small pieces of tuber or suckers, 5-8cm deep. Best planted at soil temperatures between 68째F and 95째F. (Show 째C/cm)",Space plants: 31 inches apart,Harvest in approximately 28 weeks. When the leaves begin to die down. .,Compatible with (can grow beside): Best in separate bed,"Moist, well-drained soil, partial shade to full sun, warm weather (70-85캟). Prefers a pH of 5.5-6.5. Water regularly, especially during tuber formation. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun to partial shade, moist, well-drained soil",partial shade to full sun,Warm weather,well-drained soil
Thyme,Grow in seed trays and plant out 6-8 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59째F and 77째F. (Show 째C/cm),Space plants: 10 - 12 inches apart,Harvest in 42-52 weeks. Root divisions ready in 3 months.,"Compatible with (can grow beside): Dry-environment herbs (oregano,sage), Eggplant, Cabbage","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun",full sun,Warm weather,well-drained soil
Tomatillo,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70째F and 81째F. (Show 째C/cm)",Space plants: 28 inches apart,Harvest in 10-14 weeks. Husk splits when fruit is ripe..,Compatible with (can grow beside): Will happily grow in a flower border,"Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun",full sun,Warm weather,well-drained soil
Tomato,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61째F and 95째F. (Show 째C/cm)",Space plants: 16 - 24 inches apart,Harvest in 8-17 weeks.,"Compatible with (can grow beside): Asparagus, Chervil,Carrot, Celery, Chives, Parsley, Marigold, Basil","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun",full sun,Warm weather,well-drained soil
Turnip,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 12째C and 30째C. (Show 째F/in),Space plants: 12 - 20 cm apart,Harvest in 6-9 weeks.,"Compatible with (can grow beside): Peas, Beans, Chives, Spinach, Carrots, Chicory","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade",full sun,cool weather,well-drained soil
Watermelon,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70째F and 95째F. (Show 째C/cm)",Space plants: 24 - 30 inches apart,Harvest in 12-17 weeks.,"Compatible with (can grow beside): Sweetcorn, Sunflowers","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun",full sun,Warm weather,well-drained soil
Yacon,Easy to grow. Plant sprouting root/tuber to a depth of about 4cm and mulch to cover. Best planted at soil temperatures between 50째F and 77째F. (Show 째C/cm),Space plants: 39 inches apart,Harvest in approximately 25 weeks. You can collect a few at a time without digging out the whole plant..,Compatible with (can grow beside): Best in separate bed,"Full sun to partial shade, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during tuber formation. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun",full sun,Warm weather,well-drained soil
Zucchini,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70째F and 95째F. (Show 째C/cm)",Space plants: 20 - 35 inches apart,Harvest in 6-9 weeks. Cut the fruit often to keep producing.,"Compatible with (can grow beside): Corn, beans, nasturtiums, parsley, Silverbeet, Tomatoes","Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, especially during fruit production. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun",full sun,Warm weather,well-drained soil
